10409	Costa Rica	a Costa Rica	/ˈkɔʃ.tɐ ˈʁi.kɐ/	/ˈkɔs.tɐ ˈʁi.kɐ/	sf		Costa Rica	/ˌkoʊstə ˈriːkə/	/ˌkoʊstə ˈriːkə/	n. prop	*		Costa Rica	/'kos.ta 'ɾi.ka/		sf	*		<img src="_Costa_Rica_Region.png">	Costa Rica	le Costa Rica	/kɔsta ʁika/	sm		Costa Rica					Costa Rica					Costa Rica											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10410	El Salvador	o El Salvador	/u eɫ sɐɫ.vɐ.ˈdoɾ/	/u eɫ sɐɫ.vɐ.ˈdoɾ/	sm		El Salvador	/ɛl ˈsælvədɔːr/	/ɛl ˈsælvədɔːr/	n. prop	*		El Salvador	/el sal.'βa.ðoɾ/		sm	*		<img src="_El_Salvador_Region_sm.png">	El Salvador	le Salvador	/salvadɔʁ/	sm		El Salvador					El Salvador					El Salvador											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10411	Honduras	(as) Honduras	/õˈduɾɐs/	/õˈduɾɐs/	sm		Honduras	/hɒnˈdʊərəs/	/hɒnˈdʊərəs/	n. prop	*		Honduras	/on.'du.ɾas/		sf	*		<img src="_Honduras_Region.png">	Honduras	le Honduras	/ɔndyʁas/	sm		Honduras					Honduras					Honduras											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10412	Nicarágua	a Nicarágua	/ni.kaˈɾa.ɣwɐ/	/ni.kaˈɾa.ɰwɐ/	sf		Nicaragua	/ˌnɪkəˈrɑːɡwə/	/ˌnɪkəˈrɑːɡwə/	n. prop	*		Nicaragua	/ni.ka.'ɾa.ɣwa/		sf	*		<img src="_Nicaragua_Region_lg.png">	Nicaragua	le Nicaragua	/nikaraɡwa/	sm		Nicaragua					Nicaragua					Nicaragua											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10413	Panamá	o Panamá	/pɐ.nɐˈmɐ/	/pɐ.nɐˈmɐ/	sm		Panama	/ˈpænəmɑː/	/ˈpænəmɑː/	n. prop	*		Panamá	/pa.'na.ma/		sm	*		<img src="_Panama_Region.png">	Panama	le Panama	/panama/	sm		Panama					Panamá					Panama											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10414	Guatemala	a Guatemala	/ɡwa.te.ˈma.lɐ/	/ɡwa.te.ˈma.lɐ/	sf		Guatemala	/ˌɡwɑːtəˈmɑːlə/	/ˌɡwɑːtɪˈmɑːlə/	n. prop	*		Guatemala	/ɣwa te ma la/		sf	*		<img src="_Guatemala_Region_lg.png">	Guatemala	le Guatemala	/ɡwɑ.te.ˈma.la/	sf		Guatemala					Guatemala					Guatemala											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::Spanish_Speaking
10408	Belize	o Belize	/bɨˈlizɨ/	/bɛˈlizi/  , /beˈlizi/	sm		Belize	/bəˈliːz/	/bɛˈliːz/	n. prop	*		Belice	/βe li θe/		sm	*		<img src="_Belize_regionMap.png">	Belize	le Belize	/beˈliːz/	np		Belize					Belize					Belize											Geo::America::Central_America Geo::America::North_America Geo::Countries Geo::Language::English_Speaking
