10468	Botsuana	o Botsuana	/bo.tsu'ɐ.nɐ/	/bo.tsu'ɐ.nɐ/	sm		Botswana	/bɒtˈswɑːnə/	/bɒtˈswɑːnə/	n. prop	*		Botsuana	/botsu.'a.na/		sf	*			le Botswana	le Botswana	/bɔtswana/	sm		Botsuana					Botswana					Botswana
10469	Suazilândia	a Suazilândia	/swa.zi'lɐ̃.di.ɐ/	/swa.zi'lɐ̃.di.ɐ/	sf		Eswatini	/ɛˈswɑːtɪni/	/ɛˈswɑːtɪni/	n. prop	*		Essuatíni	/ɛ.swa.'ti.ni/		sf	*			le Swaziland	le Swaziland	/swazilɑ̃d/	sm		Eswatini					Eswatini					Eswatini
10470	Lesoto	o Lesoto	/lɨ.'so.tu/	/le.'so.tu/	sm		Lesotho	/ləˈsuːtuː/	/ləˈsuːtuː/	n. prop	*		Lesoto	/le.'so.to/		sm	*			le Lesotho	le Lesotho	/lɛzɔto/	sm		Lesotho					Lesotho					Lesotho
10471	Namíbia	a Namíbia	/nɐ.'mi.bi.ɐ/	/nɐ.'mi.bi.ɐ/	sf		Namibia	/nəˈmɪbiə/	/nəˈmɪbiə/	n. prop	*		Namibia	/na.'mi.bja/		sf	*			la Namibie	la Namibie	/namibi/	sf		Namibia					Namibia					Namibia
10472	África do Sul	a África do Sul	/'a.fɾi.kɐ du 'suw/	/'a.fɾi.kɐ du 'suw/	sf		South Africa	/ˈsaʊθ ˈæfrɪkə/	/ˈsaʊθ ˈæfrɪkə/	n. prop	*		Sudáfrica	/su.'ða.fɾi.ka/		sf	*			l'Afrique du Sud	l'Afrique du Sud	/afʁik dy syd/	sf		Südafrika					Sudafrica					Sudafrica
