No	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	en_word	en_ipa_US	en_ipa_UK	en_type	artigo_marker	en_notes	es_word	es_ipa_ES	es_ipa_LA	es_type_gender	es_marker	es_notes	image	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	de_word	de_word_art	de_ipa	de_type_gender	de_notes	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	it_word	it_ipa	it_type_gender	it_notes	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
10140	cama	a cama	/ˈka.mɐ/	/ˈka.mɐ/	sf						*		cama																																	
10143	cómoda	a cómoda	/ˈko.mu.dɐ/	/ˈko.mo.dɐ/	sf						*		cómoda																																	
10147	mesas de cabeceira	as mesas de cabeceira	/ˈmɛ.zɐʒ ðɨ ka.bɨ.ˈsej.ɾɐ/	/ˈme.zɐʒ dʒi ka.be.ˈsej.ɾɐ/	sfp	criado mudo					*		mesitas de noche																																	
10142	roupeiro	o roupeiro	/ʁu.ˈpɐj.ɾu/	/ʁo.ˈpɐj.ɾu/	sm	Arrumei as roupas no roupeiro depois de passar a ferro.					*		armario (de ropa)																																	
