10450	Comores	as Comores	/ku.'mo.ɾɨʃ/	/ko.'mo.ɾɨʃ/	sfp		Comoros	/ˈkɒmərəʊz/	/ˈkɒmərəʊz/	n. prop	*		Comoras	/ko.'mo.ɾas/		sfp	*			les Comores	les Comores	/kɔmɔʁ/	smp		Komoren					Comore					Comore
10451	Seychelles	as Seychelles	/sej.'ʃɛ.lɨʃ/	/sej.'ʃɛ.liʃ/	sfp		Seychelles	/seɪˈʃɛlz/	/seɪˈʃɛlz/	n. prop	*		Seychelles	/se.'ʧe.ʎes/		sfp	*			les Seychelles	les Seychelles	/seʃɛl/	sfp		Seychellen					Seychelles					Seychelles
10452	Madagascar	a Madagascar	/mɐ.dɐ.'ɡas.kaɾ/	/mɐ.dɐ.'ɡas.kaɾ/	sf		Iceland	/ˈaɪslənd/	/ˈaɪslənd/	n. prop	*		Islandia	/is.'lan.dja/		sf	*			l'Islande	l'Islande	/is.lɑ̃d/	sf		Island					Islanda					Islanda
10453	Maurícia	a Maurícia	/mɐw.'ɾi.si.ɐ/	/mɐw.'ɾi.si.ɐ/	sf		Mauritius	/məˈrɪʃəs/	/məˈrɪʃəs/	n. prop	*		Mauricio	/mau.'ɾi.θjo/		sm	*			Maurice	Maurice	/moʁis/	sf		Mauritius					Mauritius					Mauritius
