8850	pão	o pão	/ˈpɐ̃w/	/ˈpɐ̃w̃/	sm		bread	/brɛd/	/brɛd/	n			pan	/pan/		sust. masc.			
8858	pera	a pera	/ˈpe.ɾɐ/	/ˈpe.ɾɐ/	sf		pear	/pɛr/	/peə/	n			pera	/ˈpera/		sf			
8859	prato	o prato	/ˈpra.tu/	/ˈpra.tu/	sm		plate	/pleɪt/	/pleɪt/	n		Plate: A "plate" typically refers to a flat, shallow, and round or oval dish that is used to serve individual portions of food. It is the standard item on which a main course or a portion of a meal is placed. Plates are usually made of various materials, such as ceramic, porcelain, glass, or plastic.   Dish: "Dish" is a broader term that encompasses any container or vessel used for serving or holding food. It includes plates but can also refer to bowls, platters, serving dishes, and even cookware like casseroles or baking dishes. "Dish" is a more general term that covers a wider range of food-serving containers.	plato	/ˈplato/					
8860	queijo	o queijo	/ˈkej.ʒu/	/ˈkej.ʒu/	sm		cheese	/tʃiz/	/tʃiːz/	n			queso	/ˈkeso/		sust. masc.			
8867	uva	a uva	/ˈu.vɐ/	/ˈu.vɐ/	sf		grape	/ɡreɪp/	/ɡreɪp/	n			uva	/ˈuβa/		sf			<img src="_en_grapes.JPG">
8869							vegetables	/ˈvɛdʒtəbəlz/	/ˈvɛdʒtəbəlz/	np			verduras	/beɾˈduɾas/		s.f.p.			
8870	cheio, cheia		/ˈʃɐj.u/, /ˈʃɐj.ɐ/	/ˈʃej.u/, /ˈʃej.ɐ/	adjm , adjf		full	/fʊl/					lleno, llena	/ˈʎeno/, /ˈʎena/					
8902	laranja (fruta)	a laranja	/lɐ.ˈɾɐ̃.ʒɐ/	/la.ˈɾɐ̃.ʒɐ/	sf		orange (fruit)	/ˈɔrɪndʒ/	/ˈɒrɪndʒ/	n			naranja (fruta)	/naˈɾaŋxa/					
9086	limões	os limões	/li.ˈmõj̃/	/li.ˈmõj̃/	smp		lemons	/ˈlɛmənz/	/ˈlɛmənz/	np			limones						
9266	peixe (alimento)	o peixe	/ˈpejʃɨ/	/ˈpej.ʃi/	sm	In Portuguese, the word "peixe" can be used for both the living animal (fish) and the prepared food (fish as a meal).	fish	/fɪʃ/	/fɪʃ/	n			pescado	/pes/		sust. masc.			
9265	sumo de laranja	um sumo de laranja	/'sumu dɨ lɐˈɾɐ̃ʒɐ/	/'sumu dʒi laˈɾãʒɐ/	s		orange juice	/ˈɔrɪndʒ ʤus/	/ˈɒrɪndʒ ʤuːs/	n			zumo de naranja						
9264	frango (alimento)	o frango	/ˈfɾɐ̃.ɡu/	/ˈfɾɐ̃.ɡu/	sm		chicken	/ˈʧɪkɪn/	/ˈʧɪkɪn/	n			pollo	/ˈpoʎo/		s.m.			
9263	um chá de camomila	um chá de camomila	/ʃa dɨ kɐmuˈmilɐ/	/ʃa dʒi kamuˈmilɐ/	s		chamomile tea	/ˈkæməˌmaɪl ti/	/ˈkæməmaɪl tiː/	n			un té de manzanilla						
9262	um chá verde	um chá verde	/ʃa ˈveɾdɨ/	/ʃa ˈveɾdʒi/	s		green tea	/ˈɡriːn ti/	/ˈɡriːn tiː/	n			un té verde						
9261	um chá negro	um chá negro	/ʃa ˈneɡɾu/	/ʃa ˈneɡɾu/	s		black tea	/blæk ti/	/blæk tiː/	n			un té negro						
9260	um chá de menta / mentol	um chá de menta / mentol	/ʃa dɨ ˈmẽtɐ / mẽˈtɔl/	/ʃa dʒi ˈmẽtɐ / mẽˈtɔl/	s		mint tea	/mɪnt ti/	/mɪnt tiː/	n			un té de menta / mentol						
9259	um chá	um chá	/ʃa/	/ʃa/	s		a tea	/ə ti/	/ə tiː/	n			un té						
