10238	trabalhador, trabalhadora		/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/tɾɐbaʎa'doɾ/, /tɾɐbaʎa'doɾɐ/	adjm , adjf		hardworking	/ˈhɑːrdˌwɜːrkɪŋ/		adj			trabajador, trabajadora	/tɾaβaxaˈðoɾ/, /tɾaβaxaˈðoɾa/		adjm, adjf
10239	independente		/ĩ.ˌde.pẽ.ˈdẽ.tɨ/	/ĩ.ˌde.pẽ.ˈdẽ.tʃi/	adj		independent						independiente			
10240	inteligente		/ĩ.tɨɫiˈʒẽ.tɨ/	/ĩ.tɨɫiˈʒẽ.tʃi/	adj m/f		intelligent	/ɪnˈtɛlɪdʒənt/					inteligente	/inteˈli.xente/		
10241	introvertido, introvertida		/ĩtɾu.vɛɾ'tidu/, /ĩtɾu.vɛɾ'tidɐ/	/ĩtɾow.veʁ'tidu/, /ĩtɾow.veʁ'tidɐ/	adjm , adjf		introverted	/ˌɪntrəˈvɜrtɪd/		adj			introvertido, introvertida	/introβer'tiðo/, /introβer'tiða/		adjm, adjf
10242	preguiçoso, preguiçosa		/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	adjm , adjf		lazy	/ˈleɪzi/		adj			perezoso, perezosa	/peɾe'θoso/, /peɾe'θosa/		adjm, adjf
10243	comprido,a (cabelo)		/kõ'pɾidu/, /kõ'pɾidɐ/	/kõ'pɾidu/, /kõ'pɾidɐ/	adjm, adjf		long	/lɔŋ/		adj			largo, larga	/'laɾɡo/, /'laɾɡa/		adjf, adjm
10244	longa, longo		/'lõɡɐ/, /'lõɡu/	/'lõɡɐ/, /'lõɡu/	adjf , adjm		long	/lɔŋ/		adj			larga, largo	/'laɾɡo/, /'laɾɡa/		adjm, adjf
10245	casada, casado		/kɐ'zaðɐ/ , /kɐ'zaðu/		adjm , adjf		married	/ˈmærɪd/		adj			casada, casado	/kaˈsaða/  , /kaˈsaðo/		adjm, adjf
10246	mais nova, novo		/ˈno.vɐ/,  /ˈno.vu/		adjm , adjf		new	/nuː/		adj			nueva, nuevo	/ˈnwe.βa/, /ˈnwe.βo/		adjf, adjm
10247	barulhento, barulhenta		/bɐ.ɾu.ˈʎẽ.tu/, /bɐ.ɾu.ˈʎẽ.tɐ/	/ba.ɾu.ˈʎẽ.tu/, /ba.ɾu.ˈʎẽ.tɐ/	adjm, adjf		noisy						ruidoso, ruidosa			
