aluno + aluna (Fem/Masc)	feminino ou masculino	aluno	aluna	/ɐ.ˈɫu.nu/	/ɐ.ˈɫu.nɐ/	
conde + condessa (Fem/Masc)	femenino ou masculino	conde	condessa	/ˈkõ.dɨ/	/kõ.ˈde.sɐ/	
duque + duquesa (Fem/Masc)	femenino ou masculino	duque	duquesa	/ˈdu.kɨ/	/du.ˈke.zɐ/	
sacerdote + sacerdotisa (Fem/Masc)	femenino ou masculino	sacerdote	sacerdotisa	/sɐ.sɨɾ.ˈdo.tɨ/	/sɐ.sɨɾ.du.ˈti.zɐ/	
profeta + profetisa (Fem/Masc)	femenino ou masculino	profeta	profetisa	/pɾu.ˈfe.tɐ/	/pɾu.fɨ.ˈti.zɐ/	
poeta + poetisa  (Fem/Masc)	femenino ou masculino	poeta	poetisa 	/pu.ˈe.tɐ/	/pu.i.ˈti.zɐ /	(mas muitas poetisas preferem ser chamadas "poetas")
europeu + europeia (Fem/Masc)	femenino ou masculino	europeu	europeia	/iw.ɾu.ˈpew/	/iw.ɾu.ˈpɐj.ɐ/	
judeu + judia (Fem/Masc)	femenino ou masculino	judeu	judia	/ʒu.ˈdew/	/ʒu.ˈdi.ɐ/	
espanhol + espanhola (Fem/Masc)	femenino ou masculino	espanhol	espanhola	/ʃ.pɐ.ˈɲɔɫ/	/ʃ.pɐ.ˈɲo.ɫɐ/	
leitor + leitora (Fem/Masc)	femenino ou masculino	leitor	leitora	/ɫɐj.ˈtoɾ/	/ɫɐj.ˈto.ɾɐ/	
deus + deusa (Fem/Masc)	femenino ou masculino	deus	deusa	/ˈdewʃ/	/ˈdew.zɐ/	
juiz + juíza (Fem/Masc)	femenino ou masculino	juiz	juíza	/ʒu.ˈiʃ/	/ʒu.ˈi.zɐ/	
ator + atriz (Fem/Masc)	femenino ou masculino	ator	atriz	/ɐ.ˈtoɾ/	/ɐ.ˈtɾiʃ/	
imperador + imperatriz (Fem/Masc)	femenino ou masculino	imperador	imperatriz	/ĩ.pɨ.ɾɐ.ˈdoɾ/	/ĩ.pɨ.ɾɐ.ˈtɾiʃ/	
irmão + irmã (Fem/Masc)	femenino ou masculino	irmão	irmã	/iɾ.ˈmɐ̃w/	/iɾ.ˈmɐ̃/	
sultão + sultana (Fem/Masc)	femenino ou masculino	sultão	sultana	/suɫ.ˈtɐ̃w/	/suɫ.ˈtɐ.nɐ/	
catalão + catalã (Fem/Masc)	femenino ou masculino	catalão	catalã	/kɐ.tɐ.ˈɫɐ̃w/	/kɐ.tɐ.ˈɫɐ̃/	
solteirão + solteirona (Fem/Masc)	femenino ou masculino	solteirão	solteirona	/sɔɫ.tɐj.ˈɾɐ̃w/	/sɔɫ.tɐj.ˈɾo.nɐ/	
ladrão + ladra (Fem/Masc)	femenino ou masculino	ladrão	ladra	/ɫɐ.ˈdɾɐ̃w/	/ˈɫa.dɾɐ/	
rei + rainha (Fem/Masc)	femenino ou masculino	rei	rainha	/ˈʁɐj/	/ʁɐ.ˈi.ɲɐ/	
sogro + sogra (Fem/Masc)	femenino ou masculino	sogro	sogra	/ˈso.gɾu/	/ˈso.gɾɐ/	
ova + ova (Fem/Masc)	femenino ou masculino	ova	ova	/ˈo.vɐ/	/ˈo.vɐ/	
autor + autora (Fem/Masc)	femenino ou masculino	autor	autora	/aw.ˈtoɾ/	/aw.ˈto.ɾɐ/	
burgues + burguesa (Fem/Masc)	femenino ou masculino	burgues	burguesa	/ˈbuɾ.gɨʃ/	/buɾ.ˈge.zɐ/	
trabalhador + trabalhadora (Fem/Masc)	femenino ou masculino	trabalhador	trabalhadora	/tɾɐ.bɐ.ʎɐ.ˈdoɾ/	/tɾɐ.bɐ.ʎɐ.ˈdo.ɾɐ/	
patrão + patroa (Fem/Masc)	femenino ou masculino	patrão	patroa	/pɐ.ˈtɾɐ̃w/	/pɐ.ˈtɾo.ɐ/	
aldeão + aldeã (Fem/Masc)	femenino ou masculino	aldeão	aldeã	/aɫ.di.ˈɐ̃w/	/aɫ.di.ˈɐ̃/	
cidadão + cidadã (Fem/Masc)	femenino ou masculino	cidadão	cidadã	/si.dɐ.ˈdɐ̃w/	/si.dɐ.ˈdɐ̃/	
bordador + bordadeira (Fem/Masc)	femenino ou masculino	bordador	bordadeira	/buɾ.dɐ.ˈdoɾ/	/buɾ.dɐ.ˈdɐj.ɾɐ/	
ateu + ateia (Fem/Masc)	femenino ou masculino	ateu	ateia	/ɐ.ˈtew/	/ɐ.ˈtɐj.ɐ/	
cliente + cliente (Fem/Masc)	femenino ou masculino	cliente	cliente	/kɫi.ˈẽ.tɨ/	/kɫi.ˈẽ.tɨ/	
amante + amante (Fem/Masc)	femenino ou masculino	amante	amante	/ɐ.ˈmɐ̃.tɨ/	/ɐ.ˈmɐ̃.tɨ/	
chefe + chefe (Fem/Masc)	femenino ou masculino	chefe	chefe	/ˈʃe.fɨ/	/ˈʃe.fɨ/	
presidente + presidente (Fem/Masc)	femenino ou masculino	presidente	presidente	/pɾɨ.zi.ˈdẽ.tɨ/	/pɾɨ.zi.ˈdẽ.tɨ/	
infante + infanta (Fem/Masc)	femenino ou masculino	infante	infanta	/ĩ.ˈfɐ̃.tɨ/	/ĩ.ˈfɐ̃.tɐ/	
rapaz + rapariga (Fem/Masc)	femenino ou masculino	rapaz	rapariga	/ʁɐ.ˈpaʃ/	/ʁɐ.pɐ.ˈɾi.gɐ/	
triste + triste (Fem/Masc)	femenino ou masculino	triste	triste	/ˈtɾiʃ.tɨ/	/ˈtɾiʃ.tɨ/	
