o kiwi	kiwi	o kiwi	/u kɨ.ˈui/	/ˈki.wi/	sm		kiwi	/ˈkiwi/	/ˈkiːwi/	n			kiwi							kiwi					Kiwi					kiwi					kiwi											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a papaia	papaia	a papaia	/ɐ pɐ.ˈpaj.ɐ/	/pɐ.ˈpa.i.ɐ/	sf		papaya	/pəˈpaɪə/	/pəˈpaɪə/	n			papaya							papaye					Papaya					papaia					papaya											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a meloa	meloa	a meloa	/ɐ mɨ.ˈɫo.ɐ/	/mi.ˈlo.ɐ/	sf		melon	/ˈmɛlən/	/ˈmɛlən/	n			melón							melon					Melone					meló					melone											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
o mamão	mamão	o mamão	/u mɐ.ˈmɐ̃w/	/ma.ˈmɐ̃w̃/	sm		papaya	/pəˈpaɪə/	/pəˈpaɪə/	n			papaya							papaye					Papaya					papaia					papaia											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a melancia	melancia	a melancia	/ɐ mɨ.ɫɐ̃.ˈsi.ɐ/	/mi.ˈlɐ̃.si.ɐ/	sf		watermelon	/ˈwɔtərmɛlən/	/ˈwɔːtəmɛlən/	n			sandía							pastèque					Wassermelone					síndria					anguria											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
os frutos do bosque	frutos do bosque	os frutos do bosque	/uʃ ˈfɾu.tuʒ du ˈboʃ.kɨ/	/ˈfɾu.tus du ˈboʃ.ki/	smp		berries	/ˈbɛrɪz/	/ˈbɛrɪz/	nfp			frutos del bosque							baies					Beeren					fruita del bosc					frutti di bosco											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a manteiga	manteiga	a manteiga	/ɐ mɐ̃.ˈtɐj.gɐ/	/mɐ̃ˈtej.ɡɐ/	sf		butter	/ˈbʌtər/	/ˈbʌtə/	n			mantequilla	/manteˈkiʎa/		s.f.				beurre		/bœʀ/	nm	j’aurais appris à faire du beurre, du fromage I would have learned to make butter and cheese	Butter					mantega					burro											Português::Curso::A1 Português::Vocabulario::Alimentos
o(s) ovo(s)	ovo	o(s) ovo(s)	/uz ˈo.vuʃ/	/ˈɔ.vu/	sm		egg	/ɛɡ/	/ɛɡ/	n			huevo	/ˈwebo/		sust. masc.			&lt;img src=&quot;_en_egg.JPG&quot;&gt;	œuf		[œf, pl ø]	nm	n’oublie pas de chercher tes œufs de Pâques	Ei	das Ei				ou					uovo											Português::Curso::A1 Português::Vocabulario::Alimentos
o pão	pão	o pão	/u ˈpɐ̃w/	/ˈpɐ̃w̃/	sm		bread	/brɛd/	/brɛd/	n			pan	/pan/		sust. masc.				pain		[pɛ͂]	nm	ça grille le pain pendant qu’on le tranche	Brot					pa					pane											Português::Curso::A1 Português::Vocabulario::Alimentos
o queijo	queijo	o queijo	/u ˈkɐj.ʒu/	/ˈkej.ʒu/	sm		cheese	/tʃiz/	/tʃiːz/	n			queso	/ˈkeso/		sust. masc.				fromage		[fʀɔmaʒ]	nm	je n’ai jamais vraiment aimé les fromages	Käse					formatge					formaggio											Português::Curso::A1 Português::Vocabulario::Alimentos
o frango	frango	o frango	/u ˈfɾɐ̃.gu/	/ˈfɾɐ̃.ɡu/	sm		chicken						pollo						<img src="Chicken-raw.jpg">	poulet					Huhn					gallina					pollo											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Carne
os ovos meixidos	ovos meixidos	os ovos meixidos	/uz ˈo.vuʒ mɐj.ˈʃi.duʃ/	/ˈɔ.vuʃ mei.ˈʃi.ðuʃ/	smp		scrambled eggs	/ˈskræmbəld ɛɡz/	/ˈskræmbəld ɛɡz/	np			huevos revueltos							œufs brouillés					Rührei					ous remenats					uova strapazzate											Português::Curso::A1 Português::Vocabulario::Alimentos
os bolos	bolos	os bolos	/uʒ ˈbo.ɫuʃ/	/ˈbɔ.luʃ/	smp		cakes	/keɪks/	/keɪks/	nmp			pasteles							gâteaux					Kuchen					pastissos					torte											Português::Curso::A1 Português::Vocabulario::Alimentos
a salada	salada	a salada	/ɐ sɐ.ˈɫa.dɐ/	/sa.ˈla.ðɐ/	sf		salad	/ˈsæləd/	/ˈsæləd/	n			ensalada						&lt;img src=&quot;_en_salad.JPG&quot;&gt;	salade					Salat					amanida					insalata											Português::Curso::A1 Português::Vocabulario::Alimentos
a sopa	sopa	a sopa	/ɐ ˈso.pɐ/	/ˈso.pɐ/	sf	En Portugal la sopa es de vegetales y tiene una consistencia cremosa. Se acostumbra siempre en la comida y la cena.	soup	/suːp/	/suːp/	n			sopa							soupe					Suppe					sopa					zuppa											Português::Curso::A1 Português::Vocabulario::Alimentos
o chocolate	chocolate	o chocolate	/u ʃu.ku.ˈɫa.tɨ/	/ʃɔ.ku.ˈla.tʃi/	sm		chocolate	/ˈtʃɒklət/	/ˈtʃɒklət/	n			chocolate							chocolat					Schokolade					xocolata					cioccolato											Português::Curso::A1 Português::Vocabulario::Alimentos
o doce	doce	o doce	/u ˈdo.sɨ/	/ˈdɔ.si/	sm		jam	/dʒæm/	/dʒæm/	n			mermelada							confiture					Marmelade					melmelada					marmellata											Português::Curso::A1 Português::Vocabulario::Alimentos
as panquecas	panquecas	as panquecas	/ɐʃ pɐ̃.ˈke.kɐʃ/	/pɐ̃ˈke.kɐʃ/	sfp		pancakes	/ˈpænkeɪks/	/ˈpænkeɪks/	nmp			tortitas							crêpes					Pfannkuchen					panqueques					pancake											Português::Curso::A1 Português::Vocabulario::Alimentos
uma torrada	torrada	uma torrada	/ˈu.mɐ tu.ˈʁa.dɐ/	/to.ˈʁa.ðɐ/	sf		toast	/toʊst/	/toʊst/	n			tostada							pain grillé					Toast					torrada					pane tostato											Português::Curso::A1 Português::Vocabulario::Alimentos
o mel	mel	o mel	/u ˈmɛɫ/	/ˈmɛw̃/	sm		honey	/ˈhʌni/	/ˈhʌni/	n			miel							miel					Honig					mel					miele											Português::Curso::A1 Português::Vocabulario::Alimentos
