sócio	sócio	o sócio		/u ˈsɔsiu/	/u ˈsɔsiu/	sm		partner (m)	/ˈpɑrtnə˞/	/ˈpɑːtnə/				socio						associé					Partner					soci					socio
colega	colega	o/a colega		/ˈɔɐ kuˈlɛɡɐ/	/ˈɔɐ koˈlɛɡɐ/	s m/f		colleague	/ˈkɑˌliɡ/	/ˈkɒliːɡ/				colega						collègue					Kollege					col·lega					collega
sócia	sócia	a sócia		/ɐ ˈsɔsiɐ/	/a ˈsɔsiɐ/	sf		partner (f)	/ˈpɑrtnə˞/	/ˈpɑːtnə/				socia						partenaire					Partner					associada					socia
amigo	amigo	o amigo		/u ɐˈmiɡu/	/u ɐˈmiɡu/	smf		friend (m)	/ˈfɹɛnd/	/ˈfrend/				amigo						ami					Freund					amic					amico
amiga	amiga	a amiga		/ɐ ɐˈmiɡɐ/	/a ɐˈmiɡɐ/	sf		friend (f)	/ˈfɹɛnd/	/ˈfrend/				amiga						amie					Freundin					amiga					amica
chefe	chefe	o chefe		/u ˈʃɛfɨ/	/u ˈʃɛfi/	smf		boss (m)	/ˈbɑs/	/ˈbɒs/				jefe						chef					Chef					cap					boss
chefa	chefa	a chefa		/ɐ ˈʃɛfɐ/	/a ˈʃɛfɐ/	sf		boss (f)	/ˈbɑs/	/ˈbɒs/				jefa						cheffe					Chefin					capessa					boss
funcionario (PT)	funcionario	o funcionario		/u fũsiunɐˈɾiu/	/u fũsionaˈɾiu/	sm		employee (m)	/ɪmˌplɔɪˈi/	/emˈplɔɪiː/				empleado																					
funcionaria (PT)	funcionaria	a funcionaria		/ɐ fũsiunɐˈɾiɐ/	/a fũsionaˈɾiɐ/	sf		employee (f)	/ɪmˌplɔɪˈi/	/emˈplɔɪiː/				empleada																					
